application_id,applicant_name,age,gender,state,employment_status,annual_income,loan_amount_requested,loan_purpose,credit_score,dti_ratio,application_date,num_dependents,has_coborrower,loan_term_months,interest_rate_offered,application_status
APP21193,Person_675,44,Other,Ohio,Employed,119570.72,19830.67,Unknown,666,0.1362,2022-03-28,2,Yes,36,81.7,Rejected
APP97335,Person_355,64,Female,Ohio,Employed,,45741.7,Medical,368,0.7491,2022-10-15,4,Unknown,24,10.0,Rejected
APP88494,Person_201,67,Male,California,Self-employed,247790.04,57289.96,Auto loan,475,,2019-05-24,1,No,36,84.5,Approved
APP72072,Person_189,46,Male,Texas,Contract,97066.06,,Auto loan,568,0.4138,2022-04-12,0,Yes,72,14.61,Rejected
APP91539,Person_426,38,Other,Texas,Unknown,116735.71,47319.74,Debt consolidation,826,0.5935,2020-04-14,5,Yes,84,27.64,
APP73175,Person_808,43,Female,Texas,Unemployed,103446.64,24909.75,Debt consolidation,776,0.5404,2024-03-10,6,No,60,57.7,Under review
APP86122,Person_244,69,Female,Texas,,209505.91,11960.02,Business,630,0.653,2019-05-07,2,No,48,19.87,Under review
APP38371,Person_701,65,Male,California,Retired,219620.34,61304.55,Auto loan,458,0.2411,2020-09-15,4,No,12,12.45,Rejected
APP15624,Person_345,57,Female,Pennsylvania,Self-employed,,3185.55,Medical,682,0.3235,2022-05-30,3,No,36,24.46,Pending
APP23726,Person_78,57,Male,Florida,Part-time,57464.41,30661.17,Debt consolidation,376,,2024-03-01,3,Yes,84,18.21,Under review
APP53687,Person_436,23,Male,Florida,Unemployed,93296.17,4357.91,Home improvement,616,0.5614,2022-02-28,2,Yes,24,25.38,Pending
APP77359,Person_443,71,Other,New york,Retired,185592.73,38664.99,Auto loan,301,0.0878,2022-01-14,4,,72,20.25,Approved
APP61548,Person_765,29,Other,,Self-employed,238934.03,14066.57,Vacation,568,0.2587,2018-08-29,3,No,60,13.94,Unknown
APP58052,Person_464,66,Other,,Unemployed,5590173.0,65390.27,,587,0.3455,2018-10-05,5,No,48,69.8,Rejected
APP18997,Person_483,44,Other,California,Unemployed,73597.86,51900.47,Vacation,486,0.349,2023-05-31,0,No,24,24.8,Pending
APP51726,Person_841,44,Non-binary,Texas,Employed,68349.33,60408.67,Medical,767,0.1855,2022-04-28,5,No,36,15.17,Approved
APP46020,Person_800,33,Male,California,Retired,77776.47,52211.29,Auto loan,498,0.5865,2020-06-08,4,No,36,14.21,Pending
APP62460,,75,Non-binary,New york,Employed,130745.13,74354.97,Vacation,634,0.2329,2019-03-15,5,No,72,20.25,Approved
APP51868,Person_702,30,Male,New york,Part-time,47068.53,70586.07,Auto loan,568,0.322,2020-08-30,5,No,72,72.0,Rejected
APP18439,Person_708,59,Female,Pennsylvania,Part-time,,31929.57,Business,766,0.0583,2019-08-22,1,Yes,24,24.04,Approved
APP49862,Person_41,53,Female,Pennsylvania,Unemployed,92857.29,57037.24,,568,0.7132,2020-12-20,1,Yes,72,19.23,Under review
APP40466,Person_686,36,,California,Self-employed,75664.09,71953.55,Debt consolidation,513,0.0853,2018-04-27,5,No,84,27.18,Approved
APP42061,Person_802,59,Male,New york,Contract,79594.92,27046.49,Auto loan,694,0.5305,2020-12-17,3,Yes,12,14.14,Approved
APP61882,Person_773,49,Male,Illinois,Part-time,54517.11,40313.3,Home improvement,802,0.6251,2022-05-19,3,Yes,72,21.44,Rejected
APP20114,Person_34,28,Other,Texas,Self-employed,200843.88,41107.49,Medical,839,0.0764,2022-02-15,4,No,60,27.17,Rejected
APP84798,Person_119,37,Non-binary,California,Contract,53893.83,3.98117,Unknown,664,15.93,2021-01-10,6,No,72,26.25,Unknown
APP94040,Person_35,27,Female,Texas,Unknown,104121.21,74809.19,Debt consolidation,828,0.6458,2021-10-05,3,No,72,18.58,Approved
APP42463,Person_787,47,Female,California,Unemployed,106107.77,78105.41,Home improvement,837,0.08,2023-12-24,5,No,48,19.37,Rejected
APP38194,Person_869,47,Female,California,Part-time,107616.93,54691.03,Medical,568,0.5745,2023-06-03,6,No,36,37.9,Rejected
APP29782,Person_803,58,Non-binary,California,Part-time,176919.44,35072.21,Debt consolidation,556,0.3691,2020-02-01,4,No,24,19.95,Approved
APP76754,Person_933,68,Male,Miami,Retired,190069.59,67848.57,Business,477,0.326,2023-01-01,3,Yes,36,26.42,Approved
app87014,Person_720,39,Male,California,Self-employed,86681.19,34120.46,Medical,661,0.2238,2018-10-09,5,,72,94.8,Pending
APP44532,Person_929,23,Female,Texas,Self-employed,178136.22,26361.5,Debt consolidation,376,0.6431,2021-11-15,2,Yes,36,13.25,Under review
APP83778,Person_994,27,Male,Texas,Part-time,191848.41,5705.25,Medical,676,0.4719,2021-08-22,5,No,84,27.89,Rejected
APP82990,Person_986,72,Female,Florida,Unemployed,103407.45,27062.19,Medical,323,0.2658,2020-07-25,5,No,24,0.271,Approved
APP70040,Person_784,35,Non-binary,Texas,Retired,88888.21,na,Auto loan,358,0.3047,2020-04-22,6,Yes,60,15.96,Under review
APP86435,Person_854,63,Non-binary,California,Contract,197779.93,73374.06,Vacation,742,0.1402,2019-01-06,1,No,12,27.92,Pending
APP97797,Person_90,27,Female,California,Contract,138431.13,55371.09,Business,397,0.353,2020-08-20,3,No,48,27.53,Approved
APP83905,Person_258,74,Other,Texas,Employed,181117.07,61480.36,Home improvement,336,0.2921,2022-04-03,5,Yes,48,14.03,Pending
APP60777,Person_479,46,Female,California,Unemployed,,61613.08,Medical,496,0.6278,2021-04-25,2,Yes,36,17.19,Approved
APP70718,Person_833,45,Non-binary,New york,Employed,,53109.46,Debt consolidation,529,0.6001,2023-08-11,4,No,36,64.7,Unknown
APP83306,Person_154,75,Other,Unknown,Retired,70088.69,63506.34,Home improvement,457,0.2339,2019-05-05,4,Yes,12,25.02,Approved
APP18564,Person_17,53,Non-binary,New york,Retired,35187.06,50726.21,Debt consolidation,354,0.1562,2020-12-19,0,Yes,12,20.39,Approved
APP35223,Person_619,70,Female,New york,Retired,175040.12,28536.37 ,Unknown,650,0.7182,2024-02-06,3,No,84,19.86,Approved
APP72710,Person_341,66,Female,Texas,Employed,155654.0,-54650.28,Debt consolidation,332,0.4,2019-01-21,3,No,36,22.54,Under review
APP92361,Person_750,54,Non-binary,Miami,Employed,81106.36,69856.8,Education,785,0.6191,2021-12-19,1,Yes,12,26.29,Rejected
APP30479,Person_810,59,Other,Texas,Part-time,215778.12,79247.08,Auto loan,677,0.0547,2019-05-12,3,Yes,60,22.8,Approved
APP61535,Person_698,32,Male,,Contract,249739.9,,Debt consolidation,490,0.6211,2019-10-11,1,Yes,36,26.79,Rejected
APP22202,Person_65,23,Male,New york,Employed,191954.15,55881.59,Debt consolidation,677,0.3683,2018-07-18,0,,84,35.2,Under review
APP63267,Unknown,55,Female,New york,Unemployed,124605.53,14085.76,Debt consolidation,477,0.6923,2023-11-17,3,No,24,20.73,Rejected
APP91073,Person_419,69,Female,Unknown,Unemployed,90294.86,41031.13,Unknown,619,0.5321,2018-09-11,6,Yes,36,27.41,Rejected
APP22098,Person_205,37,Female,Miami,Contract,230716.82,32415.69,Business,382,0.413,2018-01-27,6,Unknown,48,19.54,Pending
APP37509,Person_604,55,Male,Texas,Unemployed,19498.74,63306.76,Debt consolidation,649,0.1932,2018-02-01,4,Yes,72,23.8,Pending
APP53219,Person_719,62,Male,Miami,Employed,153757.13,57118.53#,Debt consolidation,621,0.0003077,2019-08-28,5,Yes,48,60.3,Under review
APP38719,Person_758,62,Unknown,Miami,Contract,58997.62,27624.47,Medical,512,0.1214,2024-01-11,1,No,12,25.33,Approved
APP75237,Person_589,24,Male,Georgia,,147744.93,57119.11,Business,325,0.5216,2018-03-27,6,No,48,14.03,Approved
APP58234,Person_762,69,Male,Pennsylvania,Unemployed,127023.79,41570.27#,Education,522,0.0719,2018-09-25,5,No,12,16.23,Approved
APP18634,Person_329,65,,Florida,Contract,186698.55,26206.05,Home improvement,666,0.5695,2018-04-11,6,Yes,48,19.71,Pending
APP94281,Person_372,56,Unknown,New york,Part-time,122362.16,17517.67,Business,64,0.6965,2021-02-11,3,No,20,27.53,Approved
APP10471,Person_491,40,Male,Illinois,Retired,58166.91,43389.9,Debt consolidation,584,0.7069,2021-01-14,6,No,60,25.58,Under review
APP75697,,70,Female,Texas,Employed,180379.66,65397.05,Auto loan,676,0.5952,2023-12-07,2,Yes,84,25.83,Pending
APP66027,Person_228,44,Male,Georgia,Self-employed,82606.47,8145.31,Debt consolidation,430,0.1773,2020-06-17,0,Yes,36,26.96,Approved
APP60868,Person_101,55,Other,New york,Contract,123477.28,4668.56,Business,631,0.1223,2020-07-31,4,No,60,64.0,Approved
APP77024,Person_242,40,Male,California,Employed,113075.52,48706.69,Medical,843,0.2966,2019-02-26,2,Yes,72,22.03,Approved
APP76238,Person_608,49,Female,New york,Employed,246508.68,31599.75,Home improvement,568,0.5251,2019-08-02,4,Yes,72,22.85,Unknown
APP78417,Person_335,48,Non-binary,New york,Unemployed,153195.49,1565.04,Debt consolidation,382,0.4571,2023-09-28,1,Yes,84,21.52,Under review
APP36429,,48,Male,Texas,Self-employed,,66.41769000000001,Business,350,0.1061,2018-07-28,4,No,72,16.34,Approved
APP41977,Person_428,26,Female,,Part-time,37732.15,41316.45,,348,0.6003,2022-04-03,6,Unknown,72,0.1008,Rejected
APP68783,Person_223,62,,Texas,Part-time,45243.51,35453.94,Debt consolidation,794,0.3433,2022-06-30,2,Yes,12,22.87,Under review
APP12521,Person_535,44,Female,New york,Self-employed,137790.91,53121.92,,647,0.716,2019-12-19,1,Yes,84,18.94,Approved
APP41265,Person_200,69,Other,New york,Employed,21720.92,3207.59,Vacation,314,0.286,2018-03-03,5,Yes,72,19.42,Rejected
APP21590,Person_671,32,Non-binary,Texas,Self-employed,143994.52,15962.47,,638,0.3074,2018-01-20,0,Yes,72,17.97,Rejected
APP54532,Person_988,65,Female,Texas,Part-time,218432.8,21150.42,Debt consolidation,714,0.2142,2021-01-28,2,Yes,84,14.44,Pending
APP27200,Person_156,29,Male,Illinois,Part-time,129248.23,25614.3,Business,671,0.1473,2018-06-24,3,Yes,20,19.86,Rejected
APP53621,Person_339,39,Other,Ohio,Contract,167747.68,na,,468,0.6728,2020-07-17,5,No,72,12.65,Under review
APP87580,Person_13,39,Female,Florida,Employed,24287.67,51777.22$,Business,568,0.6568,2019-09-17,1,No,72,12.54,Rejected
APP97932,Person_133,37,Male,Illinois,Contract,36222.58,73899.94,Auto loan,568,0.4475,2023-03-05,2,No,48,23.02,Rejected
app37606,Person_186,44,Male,New york,Contract,157087.17,2254.09,Auto loan,436,0.5025,2018-02-04,3,No,12,20.17,Under review
APP51369,Person_487,38,Female,Texas,Contract,217854.79,UNKNOWN,Debt consolidation,512,,2023-12-22,6,No,36,94.6,Unknown
APP95891,Person_789,59,Unknown,Unknown,Contract,181748.97,na,Auto loan,515,0.6485,2020-01-17,5,No,24,97.1,Rejected
APP83690,Person_919,58,Female,California,Part-time,214704.75,41202.4,Home improvement,468,0.2308,2022-07-11,0,No,36,20.89,Approved
APP72579,Person_814,49,Female,Pennsylvania,Retired,72617.84,67605.11,Auto loan,482,0.3465,2023-09-23,2,Yes,36,23.37,Approved
APP99469,Person_262,68,,California,Self-employed,37844.55,20744.68,Home improvement,602,0.2863,2018-11-22,4,No,84,24.79,Pending
APP83126,Person_386,64,Male,Texas,Self-employed,110334.56,10299.62,Education,727,0.7306,2019-04-28,5,Yes,84,13.45,Under review
APP17465,,40,Female,Miami,Retired,200439.96,75636.0,Education,568,0.1415,2021-07-30,1,Yes,24,16.03,Rejected
APP25307,Person_388,63,Female,New york,Part-time,195074.92,40808.05,Business,376,0.1068,2022-08-12,3,No,48,18.17,Approved
APP74011,Person_268,63,Female,New york,Unemployed,23980.33,17048.13,Medical,736,0.5625,2021-02-04,5,Yes,36,0.0444,Under review
APP48200,Person_59,30,Female,California,Part-time,164833.37,,Business,548,0.2781,2019-09-24,3,No,60,15.91,Rejected
APP91037,Person_886,37,Female,California,,49388.24,55600.65,Vacation,493,0.507,2021-01-05,6,Yes,48,17.28,Approved
APP32302,,52,Female,California,Employed,246793.14,34969.87,Business,397,0.3006,2018-03-15,4,No,24,26.14,Approved
APP47982,Person_250,67,Male,,Employed,172122.31,24988.0,Debt consolidation,595,0.0952,2020-03-16,4,Yes,36,20.12,Rejected
APP94887,Person_148,67,Other,Texas,Part-time,21695.8,53853.81,Home improvement,465,0.5423,2020-04-28,0,No,72,47.6,Pending
APP76248,Person_370,24,Female,,Self-employed,167691.12,31381.95,Auto loan,821,0.4993,2020-01-20,3,Yes,84,17.07,Approved
APP68425,Person_969,73,Non-binary,Texas,Employed,84711.26,53479.12,Auto loan,344,0.307,2024-03-18,0,No,20,21.22,Under review
APP26351,Person_180,58,Non-binary,Illinois,Part-time,150804.99,1411.86,Home improvement,647,0.7381,2018-12-02,0,Yes,36,13.37,Rejected
APP21858,Person_971,40,Female,New york,Contract,139184.59,66431.83,,389,0.3686,2019-01-09,0,No,36,20.83,Rejected
APP36071,Person_3,71,,New york,Self-employed,194902.51,43610.94 ,Debt consolidation,843,0.6929,2024-01-18,5,Yes,48,14.56,Rejected
APP28314,Person_389,64,Male,Pennsylvania,Self-employed,195008.19,33520.04,Debt consolidation,433,0.4674,2019-06-28,2,Yes,48,26.22,Under review
APP52195,Person_776,34,Male,New york,Retired,45087.18,72023.87,Home improvement,839,0.5257,2023-08-13,0,,36,21.06,Approved
APP83186,Person_927,73,Female,New york,Unemployed,28105.97,67365.62,Home improvement,557,0.2224,2021-09-12,3,,36,41.2,Under review
APP78380,Person_709,68,,California,Self-employed,37308.09,51297.46,Home improvement,535,0.5514,2021-08-29,1,No,72,39.5,Unknown
APP65683,Person_516,68,Female,Pennsylvania,Contract,19824.36,na,Home improvement,568,0.181,2018-11-26,1,Yes,12,83.6,Pending
APP32347,Person_651,63,Male,Texas,Self-employed,106398.69,unknown,Auto loan,690,0.7182,2019-12-06,6,No,36,25.57,Approved
APP55591,Person_473,20,Other,Georgia,Employed,191535.01,43600.07,Auto loan,498,,2023-12-28,3,Yes,24,27.83,Rejected
APP30459,Person_718,32,Female,Illinois,,142027.54,31644.43,Auto loan,460,0.154,2021-09-17,2,Yes,24,95.2,Rejected
APP49885,Person_682,32,Male,Texas,Contract,125286.04,40137.18,Debt consolidation,685,0.3033,2024-05-13,0,Yes,48,10.56,Pending
APP64193,Person_705,72,,Illinois,Self-employed,44997.49,50595.52,Auto loan,544,0.3465,2022-07-06,0,No,84,11.36,Pending
APP28726,Person_2,26,Female,Illinois,Employed,75217.58,45348.08,Education,568,0.5729,2020-12-28,2,Yes,72,15.76,Approved
APP23739,Person_979,32,Female,California,Employed,20769.49,42616.54$,Business,661,0.4433,2024-04-02,2,Yes,24,83.3,Pending
APP91811,Person_883,60,Female,Illinois,Part-time,77112.5,70000.56,Medical,354,0.1495,2020-11-10,1,Yes,24,20.25,Under review
APP34037,Person_937,60,Female,Texas,Self-employed,170878.26,39217.9#,Auto loan,600,0.6636,2022-11-05,2,Yes,36,22.78,Under review
APP31418,Person_874,37,Female,Texas,Employed,77145.17,71648.11#,Debt consolidation,548,0.4527,2023-02-03,1,Yes,84,24.49,Rejected
APP17157,Person_191,56,Non-binary,Miami,Self-employed,63334.45,16829.38,Auto loan,506,0.5997,2021-09-19,3,Yes,12,69.9,Rejected
APP78648,Person_785,55,Male,Florida,Employed,158348.46,16836.86,Auto loan,655,0.4007,2020-12-16,2,Yes,36,19.01,Rejected
APP49169,Person_73,68,Male,Illinois,Part-time,247836.98,3455.49,Auto loan,714,0.6482,2019-06-12,6,No,12,14.11,Unknown
APP89423,Person_117,65,Female,Texas,Employed,2103598.0,73761.78,Debt consolidation,803,0.6999,2020-03-02,5,Yes,60,60.9,Approved
APP51652,Person_99,59,Male,New york,Part-time,94176.29,53094.36,Home improvement,456,0.4459,2019-07-28,1,Yes,12,24.31,Rejected
APP96529,Person_815,59,Male,,Self-employed,129943.7,67757.5USD,Education,380,0.3711,2022-03-09,5,Yes,24,13.47,Pending
APP69020,Person_111,24,Unknown,New york,Self-employed,60661.6,2824.99,Education,540,0.5134,2019-11-30,0,No,84,10.17,Under review
APP82132,Person_5,31,Male,New york,Self-employed,169297.62,43706.45,Auto loan,315,0.7283,2024-01-30,5,Yes,84,48.9,Unknown
APP53821,Person_827,1,Female,New york,,152899.96,21493.85,Home improvement,326,0.0687,2018-09-14,5,Yes,24,10.4,Pending
APP36798,Person_804,26,Female,Miami,Employed,18362.81,4204.02,Medical,817,0.4809,2021-04-02,2,Yes,20,15.24,Approved
APP53231,Person_629,46,Other,Unknown,Self-employed,82997.02,4450.8,Home improvement,570,0.0849,2023-11-03,2,No,48,48.9,Rejected
APP15513,Person_602,53,Female,Illinois,Part-time,20789.16,73851.78,Debt consolidation,828,0.702,2019-03-14,4,Yes,48,17.5,Rejected
APP21327,Person_364,19,Female,New york,Unemployed,55651.77,28025.99,Debt consolidation,834,0.6207,2023-07-18,6,No,20,35.9,Approved
APP14015,Person_430,74,Other,Texas,Self-employed,155195.96,15268.2,Debt consolidation,764,0.6407,2022-02-18,0,No,12,14.69,Pending
APP15482,Person_8,74,Non-binary,Georgia,Unemployed,226563.71,63893.66,Vacation,340,0.6792,2019-03-19,3,No,36,22.99,Under review
APP95380,Person_567,46,Female,Texas,Self-employed,41757.43,13038.37,Auto loan,532,0.7344,2023-04-22,6,No,84,20.25,Under review
APP22499,Person_56,34,,Illinois,Employed,231243.31,19151.55,Auto loan,786,0.2398,2019-07-28,5,Unknown,24,11.84,Rejected
APP47590,Person_509,34,Female,Ohio,Unemployed,174306.85,57589.12,Vacation,675,0.5991,2020-11-29,5,Yes,20,20.41,Approved
APP22199,Person_366,29,Non-binary,New york,Unemployed,234087.19,48629.61,Debt consolidation,402,0.3038,2019-02-16,6,Yes,72,21.66,
APP59522,Person_480,29,Female,Ohio,Retired,198523.55,10229.5,Vacation,652,0.4779,2020-07-01,3,No,60,15.48,Approved
APP45666,,37,Other,Unknown,Part-time,67901.22,22387.08,Education,545,0.6381,2021-05-07,1,Yes,72,59.4,
APP95389,Person_84,50,Female,New york,Retired,52783.6,61472.48,Auto loan,358,0.6138,2019-11-28,4,No,84,25.86,Approved
APP17115,Person_404,50,Non-binary,Texas,Part-time,,70786.35,Business,571,0.5827,2020-08-25,5,No,36,74.9,
APP94388,Person_159,49,Unknown,Texas,Employed,100614.58,53667.48USD,Debt consolidation,71,0.7413,2023-03-24,2,No,84,16.89,Approved
APP54175,Person_207,21,Male,New york,Unknown,96079.65,54866.94,Medical,651,0.7496,2023-05-01,3,Yes,84,19.03,Approved
APP39170,Person_125,73,Male,New york,Part-time,247272.47,60864.35,Home improvement,367,,2023-10-26,3,Yes,72,81.5,Approved
APP20920,Person_669,20,Male,Illinois,Self-employed,92913.1,72590.38$,Medical,536,0.4765,2019-08-06,3,Yes,36,51.4,Rejected
APP97175,Person_906,44,Other,Unknown,Self-employed,173838.73,62058.98,Business,823,0.6865,2020-02-15,6,Yes,12,20.96,Pending
APP29409,Person_587,55,Unknown,Texas,Self-employed,147007.4,23428.77,Medical,848,0.2444,2021-07-11,2,No,72,67.2,Rejected
APP11275,,36,Female,Florida,Unemployed,242933.64,47069.55,Education,800,0.6613,2021-05-18,2,Yes,60,10.11,Approved
APP68502,Person_521,27,Female,New york,Contract,71146.56,39047.79#,,537,0.5558,2021-07-15,3,No,36,24.57,Approved
APP59495,Person_878,22,Male,Texas,Self-employed,156024.44,na,Education,756,0.6892,2018-06-30,2,Yes,60,18.71,Under review
APP37362,,57,Female,New york,Part-time,,44744.41,Education,731,0.3918,2019-03-27,3,Yes,60,12.24,Rejected
APP62166,Person_452,27,Female,Pennsylvania,Self-employed,163590.79,7860.72,Business,468,0.6859,2019-08-31,1,No,60,77.7,Pending
APP23133,Person_81,54,Male,,Contract,148542.63,8978.24,Education,592,0.6572,2023-07-07,5,Yes,84,10.1,Rejected
APP39105,-,21,,New york,Self-employed,70316.43,18904.34$,Unknown,737,0.111,2024-03-17,4,Yes,84,22.95,Approved
APP53902,Person_730,57,Female,California,Employed,86789.56,66272.51,Home improvement,829,0.6588,2020-01-09,2,No,12,11.93,Rejected
APP32245,Person_241,36,Male,Ohio,Contract,68984.58,58491.77,Business,429,0.2373,2023-01-02,4,No,48,12.66,Rejected
APP85631,Person_340,27,Female,New york,Unemployed,112655.64,6037368.0,,408,0.2081,2018-10-20,2,No,20,10.86,Under review
APP75552,Person_724,27,Female,New york,,239211.02,13.0991,Unknown,613,0.1585,2023-10-12,6,Yes,84,20.25,Rejected
APP80985,Person_735,50,Male,New york,,198448.67,15706.06#,Education,447,0.4204,2022-02-17,1,Yes,24,24.36,
APP68340,Person_935,23,Non-binary,California,Part-time,139878.69,63655.39,Auto loan,832,,2021-02-24,1,No,24,22.66,Approved
APP69347,Person_599,54,Female,New york,,213083.21,75555.74#,Auto loan,447,0.5919,2018-10-03,6,Yes,72,10.66,Pending
APP43629,Person_538,54,Other,Illinois,Unemployed,139668.89,15576.99,Auto loan,720,0.4446,2020-07-02,6,Yes,20,23.28,Under review
APP98181,,52,Female,Miami,Unemployed,185800.98,32279.95,Education,303,0.5721,2024-01-18,5,No,60,23.95,Approved
APP78594,Person_293,22,Female,Florida,Self-employed,,39334.42,Business,473,0.6595,2018-05-15,5,Yes,60,16.67,Pending
APP78390,Person_865,25,Non-binary,Florida,Unemployed,236694.01,49669.84,Auto loan,473,0.2403,2019-02-20,1,No,36,17.85,Under review
app53673,Person_541,25,Male,Ohio,Contract,53480.97,61394.02,Auto loan,597,,2018-12-19,6,Yes,60,17.8,Rejected
APP94088,Person_876,25,Female,Florida,Retired,195551.74,7403.21USD,Education,844,0.553,2021-08-16,5,No,84,23.39,
APP68160,Person_202,99,Male,Georgia,Part-time,94256.05,22971.99,,568,,2020-04-16,0,No,72,75.2,Pending
APP21013,Person_194,69,Female,Georgia,Contract,138366.41,19184.03,Auto loan,342,0.3757,2018-10-20,0,No,36,22.33,Under review
APP81188,Person_195,48,Other,Ohio,Unemployed,19979.86,24658.46,Debt consolidation,654,0.5982,2020-05-08,3,Yes,24,21.58,Approved
APP13541,Person_835,73,Female,Florida,Part-time,24442.17,1914.84,Business,404,0.0002235,2021-07-04,6,No,24,20.69,Approved
app11093,Person_678,49,Female,Pennsylvania,Employed,194376.08,43810.26,Business,818,0.0546,2019-07-18,6,Yes,48,11.33,Rejected
APP30528,Person_843,45,Male,California,Contract,46127.36,47163.11,Home improvement,585,0.293,2024-03-06,3,Yes,12,37.9,Approved
APP86861,Person_892,45,Male,Texas,Employed,,9737.1,Home improvement,699,0.1927,2021-03-31,6,Yes,36,24.03,Under review
APP60471,Person_594,33,Female,Texas,Contract,126743.76,73367.87,Vacation,847,0.5879,2023-04-13,6,,24,23.62,Pending
APP99993,Person_704,34,Male,Texas,Employed,229863.68,65773.57,Debt consolidation,71,0.3846,2019-07-27,3,Yes,36,50.5,Under review
APP88993,Person_976,26,Male,Florida,Self-employed,146623.12,62502.04#,Home improvement,464,0.1968,2020-08-10,3,Yes,36,37.9,Approved
APP74512,Person_598,26,Female,Texas,Unemployed,237160.61,59435.91,Medical,322,,2021-11-13,5,Yes,36,20.25,Rejected
APP45748,Person_560,47,Male,California,Part-time,53462.72,22229.37,Debt consolidation,568,0.3038,2018-01-05,5,Yes,20,27.25,Under review
APP14785,Person_274,59,Male,New york,Self-employed,149152.47,33116.21 ,Auto loan,305,0.2377,2023-06-19,5,Yes,48,21.14,Approved
APP50023,Person_970,23,Male,California,,119987.3,6874.68,Medical,508,0.3606,2023-07-13,0,Yes,72,62.8,Pending
APP29075,Person_354,36,Female,,Part-time,,24338.03USD,Unknown,354,0.2954,2023-01-11,2,No,20,17.85,Pending
APP30459,Person_664,33,Male,Georgia,Employed,,46685.77,Auto loan,542,0.5152,2020-02-08,6,,20,25.81,Pending
APP90611,Person_304,74,Other,Illinois,Employed,70483.83,15585.51,Unknown,568,0.28,2022-06-14,0,No,84,17.64,Under review
